"Estación","Provincia","Temperatura máxima (ºC)","Temperatura mínima (ºC)","Temperatura media (ºC)","Racha (km/h)","Velocidad máxima (km/h)","Precipitación 00-24h (mm)","Precipitación 00-06h (mm)","Precipitación 06-12h (mm)","Precipitación 12-18h (mm)","Precipitación 18-24h (mm)"
"Ávila","Ávila","14.2 (15:30)","-3.0 (03:40)","5.6","32 (17:00)","17 (13:20)","0","0","0","0","0"
"Arevalo","Ávila","16.3 (16:20)","-7.8 (08:40)","4.2","20 (14:30)","12 (14:30)","0","0","0","0","0"
"Puerto de Navacerrada","Madrid","8.7 (14:30)","1.0 (05:40)","4.8","45 (11:50)","24 (23:50)","0","0","0","0","0"
"Segovia","Segovia","15.2 (16:30)","1.3 (08:40)","8.2","16 (15:10)","10 (15:00)","0","0","0","0","0"
"San Rafael","Segovia","","","","","","","","","",""
"Miguelañez","Segovia","","","","23 (23:00)","20 (22:50)","0","0","0","0","0"
"La Covatilla, estación de esquí","Salamanca","7.9 (13:30)","0.6 (07:30)","4.3","58 (01:10)","39 (01:40)","0","0","0","0","0"
"Olmedo, Depósito de Agua","Valladolid","15.5 (16:40)","-6.4 (08:30)","4.5","19 (22:30)","16 (22:50)","0","0","0","0","0"
"Rueda","Valladolid","14.1 (17:00)","-6.7 (08:10)","3.7","","","0","0","0","0","0"
"Rivilla de Barajas","Ávila","14.9 (14:50)","-3.0 (09:10)","5.9","30 (17:20)","22 (17:20)","0","0","0","0","0"
